pair,time,timestamp,funding_rate,price
BTCUSDT,2019-09-10 16:00:00,1568102400000,0.00010000,10267.91
BTCUSDT,2019-09-11 00:00:00,1568131200000,0.00010000,10188.13
BTCUSDT,2019-09-11 08:00:00,1568160000000,0.00010000,10102.02
BTCUSDT,2019-09-11 16:00:00,1568188800000,0.00010000,10068.89
BTCUSDT,2019-09-12 00:00:00,1568217600000,0.00010000,9962.22
BTCUSDT,2019-09-12 08:00:00,1568246400000,0.00010000,10165
BTCUSDT,2019-09-12 16:00:00,1568275200000,0.00010000,10079.83
BTCUSDT,2019-09-13 00:00:00,1568304000000,0.00010000,10344.63
BTCUSDT,2019-09-13 08:00:00,1568332800000,0.00010000,10423.24
BTCUSDT,2019-09-13 16:00:00,1568361600000,0.00010000,10285.58
BTCUSDT,2019-09-14 00:00:00,1568390400000,0.00010000,10300.44
BTCUSDT,2019-09-14 08:00:00,1568419200000,0.00010000,10351.70
BTCUSDT,2019-09-14 16:00:00,1568448000000,0.00010000,10319.71
BTCUSDT,2019-09-15 00:00:00,1568476800001,0.00010000,10354.50
BTCUSDT,2019-09-15 08:00:00,1568505600001,0.00010000,10338.34
BTCUSDT,2019-09-15 16:00:00,1568534400000,0.00010000,10307.66
BTCUSDT,2019-09-16 00:00:00,1568563200000,0.00010000,10315.35
BTCUSDT,2019-09-16 08:00:00,1568592000000,0.00010000,10304.58
BTCUSDT,2019-09-16 16:00:00,1568620800000,0.00010000,10302
BTCUSDT,2019-09-17 00:00:00,1568649600000,0.00010000,10135.61
BTCUSDT,2019-09-17 08:00:00,1568678400000,0.00010000,10255.42
BTCUSDT,2019-09-17 16:00:00,1568707200000,0.00010000,10202.85
BTCUSDT,2019-09-18 00:00:00,1568736000000,0.00010000,10203.24
BTCUSDT,2019-09-18 08:00:00,1568764800000,0.00010000,10188.08
BTCUSDT,2019-09-18 16:00:00,1568793600000,0.00010000,10197.42
BTCUSDT,2019-09-19 00:00:00,1568822400000,0.00010000,10176.54
BTCUSDT,2019-09-19 08:00:00,1568851200000,0.00010000,10155.16
BTCUSDT,2019-09-19 16:00:00,1568880000000,0.00010000,9871.39
BTCUSDT,2019-09-20 00:00:00,1568908800000,0.00010000,9876.47
BTCUSDT,2019-09-20 08:00:00,1568937600000,0.00010000,10278.60
BTCUSDT,2019-09-20 16:00:00,1568966400000,0.00010000,10155.34
BTCUSDT,2019-09-21 00:00:00,1568995200000,0.00010000,10175.29
BTCUSDT,2019-09-21 08:00:00,1569024000000,0.00010000,10170.89
BTCUSDT,2019-09-21 16:00:00,1569052800000,0.00010000,10079
BTCUSDT,2019-09-22 00:00:00,1569081600000,0.00010000,10036.45
BTCUSDT,2019-09-22 08:00:00,1569110400000,0.00010000,9989.70
BTCUSDT,2019-09-22 16:00:00,1569139200000,0.00010000,10024.31
BTCUSDT,2019-09-23 00:00:00,1569168000000,0.00010000,9995
BTCUSDT,2019-09-23 08:00:00,1569196800000,0.00010000,10033.82
BTCUSDT,2019-09-23 16:00:00,1569225600001,0.00010000,9905.85
BTCUSDT,2019-09-24 00:00:00,1569254400000,0.00010000,9880
BTCUSDT,2019-09-24 08:00:00,1569283200001,0.00010000,9681.37
BTCUSDT,2019-09-24 16:00:00,1569312000000,0.00010000,9755.11
BTCUSDT,2019-09-25 00:00:00,1569340800000,0.00010000,9524.14
BTCUSDT,2019-09-25 08:00:00,1569369600000,0.00010000,8523.58
BTCUSDT,2019-09-25 16:00:00,1569398400001,0.00010000,8307.37
BTCUSDT,2019-09-26 00:00:00,1569427200000,0.00010000,8345.68
BTCUSDT,2019-09-26 08:00:00,1569456000000,0.00010000,8442.26
BTCUSDT,2019-09-26 16:00:00,1569484800000,0.00010000,8377.63
BTCUSDT,2019-09-27 00:00:00,1569513600000,0.00010000,7930.46
BTCUSDT,2019-09-27 08:00:00,1569542400001,0.00010000,8076.57
BTCUSDT,2019-09-27 16:00:00,1569571200000,0.00010000,8061.18
BTCUSDT,2019-09-28 00:00:00,1569600000000,0.00010000,7980.88
BTCUSDT,2019-09-28 08:00:00,1569628800000,0.00010000,8173.67
BTCUSDT,2019-09-28 16:00:00,1569657600001,0.00010000,8203.16
BTCUSDT,2019-09-29 00:00:00,1569686400000,0.00010000,8056.88
BTCUSDT,2019-09-29 08:00:00,1569715200000,0.00010000,8211.45
BTCUSDT,2019-09-29 16:00:00,1569744000000,0.00010000,8088.07
BTCUSDT,2019-09-30 00:00:00,1569772800000,0.00010000,7955.21
BTCUSDT,2019-09-30 08:00:00,1569801600000,0.00010000,8053.67
BTCUSDT,2019-09-30 16:00:00,1569830400000,0.00010000,7793.35
BTCUSDT,2019-10-01 00:00:00,1569859200000,0.00010000,8303.59
BTCUSDT,2019-10-01 08:00:00,1569888000000,0.00010000,8283.14
BTCUSDT,2019-10-01 16:00:00,1569916800000,0.00010000,8400.99
BTCUSDT,2019-10-02 00:00:00,1569945600001,0.00010000,8345.18
BTCUSDT,2019-10-02 08:00:00,1569974400000,0.00010000,8297.77
BTCUSDT,2019-10-02 16:00:00,1570003200000,0.00010000,8194.87
BTCUSDT,2019-10-03 00:00:00,1570032000000,-0.00052458,8226.51
BTCUSDT,2019-10-03 08:00:00,1570060800000,-0.00032220,8372.56
BTCUSDT,2019-10-03 16:00:00,1570089600001,-0.00006876,8248.88
BTCUSDT,2019-10-04 00:00:00,1570118400000,0.00010000,8101.46
